text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Newton's First Law of Motion is also known as the Law of: (Variation 2)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 2)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 2)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 2)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 2)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 2)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 3)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 3)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 3)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 3)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 3)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 3)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 3)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 3)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 3)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 3)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 4)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 4)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 4)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 4)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 4)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 4)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 4)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 4)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 4)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 4)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 5)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 5)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 5)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 5)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 5)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 5)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 5)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 5)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 5)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 5)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 6)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 6)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 6)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 6)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 6)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 6)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 6)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 6)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 6)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 6)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 7)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 7)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 7)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 7)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 7)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 7)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 7)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 7)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 7)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 7)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 8)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 8)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 8)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 8)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 8)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 8)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 8)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 8)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 8)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 8)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 9)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 9)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 9)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 9)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 9)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 9)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 9)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 9)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 9)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 9)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 10)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 10)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 10)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 10)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of: (Variation 10)","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force. (Variation 10)","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is: (Variation 10)","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by: (Variation 10)","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge? (Variation 10)","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called: (Variation 10)","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
