text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Find dy/dx if y = sin(2x). (Variation 3)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 3)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 3)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 3)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 3)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 3)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 3)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 4)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 4)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 4)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 4)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 4)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 4)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 4)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 4)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 4)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 4)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 5)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 5)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 5)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 5)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 5)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 5)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 5)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 5)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 5)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 5)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 6)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 6)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 6)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 6)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 6)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 6)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 6)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 6)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 6)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 6)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 7)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 7)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 7)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 7)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 7)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 7)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 7)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 7)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 7)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 7)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 8)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 8)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 8)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 8)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 8)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 8)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 8)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 8)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 8)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 8)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 9)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 9)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 9)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 9)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 9)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 9)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 9)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 9)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 9)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 9)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 10)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 10)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 10)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 10)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 10)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 10)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 10)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 10)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 10)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 10)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
