text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Choose the synonym for 'OBSTINATE': (Variation 3)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 3)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 3)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 3)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 3)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 3)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 3)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 3)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 3)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 3)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 4)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 4)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 4)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 4)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 4)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 4)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 4)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 4)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 4)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 4)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 5)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 5)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 5)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 5)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 5)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 5)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 5)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 5)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 5)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 5)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 6)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 6)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 6)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 6)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 6)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 6)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 6)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 6)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 6)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 6)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 7)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 7)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 7)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 7)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 7)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 7)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 7)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 7)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 7)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 7)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 8)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 8)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 8)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 8)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 8)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 8)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 8)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 8)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 8)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 8)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 9)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 9)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 9)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 9)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 9)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 9)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 9)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 9)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 9)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 9)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 10)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 10)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 10)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 10)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 10)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 10)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 10)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 10)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 10)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 10)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
