text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"The functional group -OH belongs to: (Variation 2)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 2)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 3)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 3)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 3)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 3)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 3)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 3)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 3)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 3)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 3)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 3)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 4)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 4)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 4)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 4)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 4)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 4)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 4)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 4)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 4)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 4)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 5)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 5)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 5)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 5)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 5)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 5)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 5)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 5)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 5)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 5)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 6)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 6)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 6)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 6)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 6)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 6)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 6)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 6)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 6)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 6)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 7)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 7)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 7)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 7)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 7)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 7)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 7)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 7)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 7)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 7)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 8)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 8)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 8)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 8)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 8)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 8)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 8)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 8)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 8)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 8)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 9)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 9)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 9)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 9)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 9)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 9)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 9)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 9)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 9)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 9)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 10)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 10)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 10)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 10)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 10)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 10)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 10)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 10)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to: (Variation 10)","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming? (Variation 10)","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
