text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Differentiate y = x^3 with respect to x. (Variation 3)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 4)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 4)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 4)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 4)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 4)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 4)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 4)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 4)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 4)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 4)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 5)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 5)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 5)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 5)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 5)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 5)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 5)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 5)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 5)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 5)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 6)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 6)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 6)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 6)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 6)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 6)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 6)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 6)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 6)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 6)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 7)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 7)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 7)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 7)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 7)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 7)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 7)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 7)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 7)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 7)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 8)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 8)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 8)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 8)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 8)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 8)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 8)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 8)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 8)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 8)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 9)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 9)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 9)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 9)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 9)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 9)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 9)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 9)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 9)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 9)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 10)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 10)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 10)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 10)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 10)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 10)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 10)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 10)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 10)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 10)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
