text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which gland produces the hormone ADH (antidiuretic hormone)?","Adrenal gland","Pancreas","Hypothalamus (released from posterior pituitary)","Thyroid gland","C","HARD","SS2","SECOND","ADH (vasopressin) is produced by the hypothalamus and stored and released by the posterior pituitary gland. It acts on the collecting ducts of the kidney to increase water reabsorption.","Excretion"
"The basic structural and functional unit of the nervous system is the","organ","synapse","neurone (neuron)","nerve","C","EASY","SS2","SECOND","A neurone (neuron) is the basic unit of the nervous system. It is a specialised cell that transmits electrical impulses. Types include sensory, motor, and relay (interneuron) neurones.","Nervous System"
"A reflex arc consists of which sequence?","Receptor → Motor neurone → Effector","Receptor → Sensory neurone → Relay neurone → Motor neurone → Effector","Effector → Brain → Receptor","Brain → Receptor → Effector","B","MEDIUM","SS2","SECOND","A reflex arc is the neural pathway for a reflex action: receptor detects stimulus → sensory neurone → relay neurone (in spinal cord) → motor neurone → effector (muscle or gland) produces response.","Nervous System"
"The part of the brain responsible for balance and coordination of movement is the","cerebrum","medulla oblongata","cerebellum","hypothalamus","C","MEDIUM","SS2","SECOND","The cerebellum coordinates voluntary movements, maintains posture and balance. It receives information from the sensory systems, spinal cord, and other parts of the brain to fine-tune motor activity.","Nervous System"
"Impulse transmission across a synapse is carried out by","electrical current","hormones","neurotransmitters","enzymes","C","MEDIUM","SS2","SECOND","Neurotransmitters (e.g., acetylcholine, dopamine) are chemical messengers released from the presynaptic terminal into the synaptic cleft. They diffuse across and bind to receptors on the postsynaptic membrane.","Nervous System"
"Which division of the nervous system controls involuntary functions like heartbeat and breathing?","Somatic nervous system","Central nervous system","Autonomic nervous system","Peripheral nervous system","C","HARD","SS2","SECOND","The autonomic nervous system (ANS) regulates involuntary body functions. It has two divisions: sympathetic (fight or flight) and parasympathetic (rest and digest). It controls heart rate, digestion, and respiration rate.","Nervous System"
"Pollination is defined as the transfer of pollen grains from the","anther to the stigma","stigma to the ovary","ovary to the anther","petal to the sepal","A","EASY","SS2","THIRD","Pollination is the transfer of pollen grains from the anther (male part) to the stigma (female part) of a flower of the same or different species. It is a prerequisite for fertilisation in flowering plants.","Reproduction in Plants"
"Which of the following is an agent of wind pollination?","Brightly coloured flowers","Sticky pollen","Feathery stigma","Sweet nectar","C","MEDIUM","SS2","THIRD","Wind-pollinated flowers have feathery or brush-like stigmas to catch pollen from the air. They also produce large amounts of light, smooth pollen and have small, dull flowers with no nectar.","Reproduction in Plants"
"The process by which a seed absorbs water and begins to grow is called","fertilisation","pollination","germination","vegetative propagation","C","EASY","SS2","THIRD","Germination is the process by which a seed sprouts and begins to grow into a new plant. It requires water, adequate temperature, and oxygen. The radicle (embryonic root) is usually the first structure to emerge.","Reproduction in Plants"
"Double fertilisation is a characteristic feature of","gymnosperms","angiosperms","ferns","mosses","B","HARD","SS2","THIRD","Double fertilisation is unique to angiosperms (flowering plants). One sperm fertilises the egg to form the zygote (2n), and the second sperm fuses with the two polar nuclei to form the endosperm (3n).","Reproduction in Plants"
"Vegetative reproduction by runners (stolons) is seen in","mango","strawberry","maize","beans","B","MEDIUM","SS2","THIRD","Strawberry plants reproduce vegetatively using runners (stolons), which are horizontal stems that grow along the ground and produce new plantlets at nodes. This is a form of asexual reproduction.","Reproduction in Plants"
"The testes in mammals produce","oestrogen","progesterone","testosterone","FSH","C","EASY","SS2","THIRD","The testes (male gonads) produce testosterone, the primary male sex hormone. Testosterone is responsible for the development of male secondary sexual characteristics and sperm production.","Reproduction in Animals"
"In humans, fertilisation normally occurs in the","uterus","vagina","ovary","fallopian tube (oviduct)","D","MEDIUM","SS2","THIRD","Fertilisation (the fusion of sperm and egg) normally occurs in the fallopian tube (oviduct), specifically in the ampulla region. The fertilised egg (zygote) then travels to the uterus for implantation.","Reproduction in Animals"
"The period of development of the foetus in the uterus is called","puberty","gestation","menstruation","ovulation","B","EASY","SS2","THIRD","Gestation is the period from fertilisation to birth. In humans, the gestation period is approximately 9 months (38–40 weeks). During this time, the zygote develops into a fully formed foetus.","Reproduction in Animals"
"Which of the following is a secondary sexual characteristic in females?","Voice breaking","Beard growth","Broadening of hips","Enlargement of testes","C","EASY","SS2","THIRD","Secondary sexual characteristics develop during puberty. In females, these include broadening of hips, development of breasts, pubic and underarm hair growth, and the onset of menstruation.","Reproduction in Animals"
"Primary growth in plants occurs at the","nodes","internodes","apical meristems","lateral buds","C","MEDIUM","SS3","FIRST","Primary growth occurs at apical meristems located at the tips of roots and shoots. It results in an increase in the length of the plant. This growth is due to cell division in meristematic tissue.","Growth"
"The S-shaped (sigmoid) growth curve in organisms represents","a constant rate of growth","phases: lag, log (exponential), stationary, and decline","only exponential growth","decline phase only","B","MEDIUM","SS3","FIRST","The sigmoid growth curve has four phases: (1) Lag phase - slow initial growth as organisms adapt; (2) Exponential/log phase - rapid growth; (3) Stationary phase - growth equals death; (4) Decline phase - population decreases.","Growth"
"Metamorphosis in insects that includes egg, larva, pupa, and adult stages is called","incomplete metamorphosis","complete metamorphosis","ecdysis","moulting","B","MEDIUM","SS3","FIRST","Complete metamorphosis (holometabolism) has four distinct stages: egg → larva → pupa → adult. Examples include butterflies, moths, beetles, and flies. Incomplete metamorphosis (hemimetabolism) has no pupal stage.","Growth"
"A gene is defined as","a segment of DNA that codes for a specific protein or trait","the entire chromosome","all the DNA in a cell","a type of RNA","A","MEDIUM","SS3","SECOND","A gene is a specific sequence of DNA (deoxyribonucleic acid) that contains the information needed to produce a specific protein or functional RNA molecule. Genes are the units of heredity.","Genetics & Heredity"
"Gregor Mendel's Law of Segregation states that","all traits blend together","two alleles for a trait separate during gamete formation","dominant traits always appear","genes are linked on chromosomes","B","MEDIUM","SS3","SECOND","The Law of Segregation states that each organism has two alleles for each trait, and these alleles separate (segregate) during the formation of gametes so each gamete carries only one allele for each trait.","Genetics & Heredity"
"In a monohybrid cross between two heterozygous parents (Tt × Tt), what is the expected phenotypic ratio?","1:2:1","3:1","1:1","2:1","B","MEDIUM","SS3","SECOND","When Tt × Tt: genotypes produced are TT, Tt, Tt, tt in ratio 1:2:1. Since T (tall) is dominant over t (short), the phenotypic ratio is 3 tall : 1 short.","Genetics & Heredity"
"What term describes an organism with two identical alleles for a trait?","Heterozygous","Homozygous","Codominant","Recessive","B","EASY","SS3","SECOND","A homozygous organism has two identical alleles for a gene (e.g., TT or tt). A heterozygous organism has two different alleles (e.g., Tt). Homozygous dominant (TT) and homozygous recessive (tt) are both homozygous.","Genetics & Heredity"
"Colour blindness in humans is an example of","autosomal dominant inheritance","autosomal recessive inheritance","sex-linked (X-linked) recessive inheritance","codominance","C","HARD","SS3","SECOND","Colour blindness is caused by a recessive allele on the X chromosome. Males (XY) need only one copy of the allele to be colour blind, while females (XX) need two copies. Hence, it is more common in males.","Genetics & Heredity"
"The genotype of a carrier female for a sex-linked recessive trait is","X^c X^c","X^C X^C","X^C X^c","X^c Y","C","HARD","SS3","SECOND","A carrier female has one dominant (normal) allele and one recessive allele on her X chromosomes (X^C X^c). She has normal phenotype but can pass the recessive allele to her offspring.","Genetics & Heredity"
"Which of the following is the correct description of DNA structure?","Single-stranded helix","Double helix of nucleotides with complementary base pairing","Linear chain of amino acids","Single strand of RNA","B","MEDIUM","SS3","SECOND","DNA (deoxyribonucleic acid) is a double helix consisting of two antiparallel strands of nucleotides. The bases pair specifically: adenine with thymine (A-T) and guanine with cytosine (G-C), held by hydrogen bonds.","Genetics & Heredity"
"The process by which DNA copies itself is called","transcription","translation","replication","mutation","C","MEDIUM","SS3","SECOND","DNA replication is the process by which a DNA molecule makes an exact copy of itself. It is semi-conservative — each new molecule consists of one original strand and one newly synthesised strand.","Genetics & Heredity"
"Charles Darwin's theory of evolution is based on","inheritance of acquired characteristics","natural selection and survival of the fittest","spontaneous generation","use and disuse of organs","B","MEDIUM","SS3","THIRD","Darwin proposed that evolution occurs through natural selection: individuals with favourable variations survive and reproduce more successfully. Over time, these beneficial traits become more common in the population.","Evolution"
"Which of the following provides evidence for evolution?","The existence of fossils","All organisms being identical","No variation between species","All species being unchanged","A","EASY","SS3","THIRD","Fossils are preserved remains of organisms from past geological periods. They provide direct evidence of the existence of ancient life forms and show how organisms have changed over time.","Evolution"
"Analogous structures are organs that","have the same origin but different functions","have different origins but perform similar functions","are found only in plants","are identical in all vertebrates","B","HARD","SS3","THIRD","Analogous structures (e.g., wings of birds and insects) perform similar functions but have different evolutionary origins. They are evidence of convergent evolution, not common ancestry.","Evolution"
"Homologous structures are evidence for","convergent evolution","divergent evolution and common ancestry","analogous evolution","spontaneous generation","B","MEDIUM","SS3","THIRD","Homologous structures (e.g., forelimbs of vertebrates) have the same basic structure and evolutionary origin but may perform different functions. They indicate common ancestry and divergent evolution.","Evolution"
"Lamarck's theory of evolution proposed that","organisms evolve by natural selection","acquired characteristics can be inherited","mutations drive evolution","organisms do not change over time","B","MEDIUM","SS3","THIRD","Jean-Baptiste Lamarck proposed that characteristics acquired during an organism's lifetime (such as enlarged muscles) could be passed to offspring. This is now known to be incorrect, but it was an early evolutionary idea.","Evolution"
"An ecosystem consists of","only biotic components","only abiotic components","biotic and abiotic components interacting","only plants and animals","C","EASY","SS3","THIRD","An ecosystem is a community of living organisms (biotic factors) interacting with each other and their non-living environment (abiotic factors such as soil, water, light, and temperature).","Ecology & Environment"
"The position an organism occupies in a food chain is called its","habitat","niche","trophic level","population","C","MEDIUM","SS3","THIRD","A trophic level represents an organism's position in a food chain or food web based on the number of energy-transfer steps from the primary producer. Producers are at trophic level 1, primary consumers at level 2, etc.","Ecology & Environment"
"Which of the following correctly represents a food chain?","Fox → Rabbit → Grass","Grass → Rabbit → Fox","Sun → Fox → Rabbit","Rabbit → Grass → Fox","B","EASY","SS3","THIRD","A food chain shows the flow of energy from producer to consumers. Energy flows from: Grass (producer) → Rabbit (primary consumer) → Fox (secondary consumer). Arrows show direction of energy flow.","Ecology & Environment"
"The total dry mass of living organisms in a given area is called","biomass","biodiversity","biome","biosphere","A","MEDIUM","SS3","THIRD","Biomass is the total mass of living organic matter (usually measured as dry mass to exclude water) in a given area or trophic level. It is used to construct ecological pyramids of biomass.","Ecology & Environment"
"Decomposers in an ecosystem carry out which function?","Photosynthesis","Converting dead organic matter into inorganic nutrients","Predating on herbivores","Fixing nitrogen in the air","B","MEDIUM","SS3","THIRD","Decomposers (bacteria and fungi) break down dead organisms and organic waste into simpler inorganic compounds, returning nutrients to the soil. They are essential for nutrient cycling (e.g., the carbon and nitrogen cycles).","Ecology & Environment"
"The carbon cycle involves which of the following processes?","Only photosynthesis","Only respiration","Photosynthesis, respiration, decomposition, and combustion","Only combustion","C","MEDIUM","SS3","THIRD","The carbon cycle is the biogeochemical cycle by which carbon moves through the biosphere, atmosphere, and geosphere. Key processes include photosynthesis (removes CO₂), respiration, decomposition, and combustion.","Ecology & Environment"
"Which type of ecological relationship benefits one organism while the other is harmed?","Mutualism","Commensalism","Parasitism","Competition","C","MEDIUM","SS3","THIRD","Parasitism is a relationship where one organism (parasite) benefits at the expense of another (host). The host is harmed but usually not immediately killed. Examples include tapeworm in the gut and Plasmodium in blood.","Ecology & Environment"
"The nitrogen cycle involves bacteria that fix atmospheric nitrogen into","nitrates directly","ammonia","oxygen","glucose","B","HARD","SS3","THIRD","Nitrogen-fixing bacteria (e.g., Rhizobium in root nodules) convert atmospheric nitrogen (N₂) into ammonia (NH₃), which is then converted to nitrites and nitrates by nitrifying bacteria for plant use.","Ecology & Environment"
"Overgrazing leads to which environmental problem?","Increased biodiversity","Soil erosion and desertification","Increased rainfall","Greater crop yield","B","MEDIUM","SS3","THIRD","Overgrazing removes plant cover, exposing topsoil to wind and water erosion. This leads to loss of soil fertility, degradation of land, and eventually desertification, particularly in semi-arid regions.","Ecology & Environment"
"In which biome would you find the greatest biodiversity?","Tundra","Desert","Tropical rainforest","Temperate grassland","C","EASY","SS3","THIRD","Tropical rainforests have the highest biodiversity of any biome, due to high rainfall, warm temperatures year-round, and high productivity. They cover about 6% of Earth's surface but contain over 50% of plant and animal species.","Ecology & Environment"
"The passing of characteristics from parents to offspring is called","mutation","heredity","variation","adaptation","B","EASY","SS3","SECOND","Heredity (inheritance) is the biological process by which traits are passed from parents to offspring through genes. Gregor Mendel's experiments with pea plants established the basic principles of heredity.","Genetics & Heredity"
"A mutation is best defined as","a change in the environment","a permanent change in the DNA sequence of an organism","a learned behaviour","adaptation to the environment","B","MEDIUM","SS3","SECOND","A mutation is a permanent, heritable change in the base sequence of DNA. Mutations can be spontaneous or induced by mutagens (e.g., UV radiation, certain chemicals) and may affect a single gene or an entire chromosome.","Genetics & Heredity"
"Down syndrome is caused by","a gene mutation","having an extra chromosome 21 (trisomy 21)","a virus","lack of vitamins","B","HARD","SS3","SECOND","Down syndrome (trisomy 21) occurs when a person has three copies of chromosome 21 instead of two. It results from non-disjunction during meiosis. It causes intellectual disability and characteristic physical features.","Genetics & Heredity"
"What is the role of meiosis in sexual reproduction?","Produces cells with double the chromosome number","Produces gametes with the haploid number of chromosomes","Produces identical cells to the parent","Repairs damaged DNA","B","MEDIUM","SS3","SECOND","Meiosis is a type of cell division that produces gametes (sex cells) with half the normal chromosome number (haploid). When two gametes fuse during fertilisation, the normal diploid chromosome number is restored.","Genetics & Heredity"
"The process by which plants lose water as vapour through their leaves is called","translocation","transpiration","respiration","guttation","B","EASY","SS2","FIRST","Transpiration is the loss of water vapour from plant surfaces, mainly through stomata on leaves. It drives the upward movement of water (transpiration stream) and helps cool the plant.","Transport in Plants"
"Which of the following best describes the term 'osmoregulation'?","Regulation of blood pressure","Regulation of water and solute balance in the body","Regulation of body temperature","Regulation of blood glucose","B","MEDIUM","SS2","SECOND","Osmoregulation is the process by which organisms maintain the water and solute balance of their internal environment. In humans, the kidneys are the main osmoregulatory organs.","Excretion"
"The liver detoxifies harmful substances and also produces","insulin","bile","glucagon","adrenaline","B","MEDIUM","SS2","SECOND","The liver produces bile, which is stored in the gall bladder and released into the duodenum to emulsify fats. The liver also detoxifies alcohol and drugs, breaks down amino acids, and stores glycogen.","Excretion"
"Which of the following is a feature of insect-pollinated flowers?","Light, smooth pollen","Small petals with no scent","Large, sticky pollen and nectar guides","Feathery stigma","C","MEDIUM","SS2","THIRD","Insect-pollinated flowers have adaptations to attract insects: large, colourful petals, scent, nectar, and sticky or spiny pollen that adheres to insects. The stigma is also sticky to trap pollen brought by insects.","Reproduction in Plants"
"Which of the following statements about growth is correct?","Growth involves only an increase in size","Growth is a permanent and irreversible increase in the size and dry mass of an organism","Growth only occurs in plants","Growth requires no energy","B","MEDIUM","SS3","FIRST","Growth is defined as a permanent, irreversible increase in the dry mass and size of an organism due to cell division (mitosis), cell enlargement, and cell differentiation. It requires energy from respiration.","Growth"
"Which of the following is an example of asexual reproduction in animals?","Budding in Hydra","Pollination in flowering plants","Fertilisation in fish","Meiosis in humans","A","MEDIUM","SS2","THIRD","Budding is a form of asexual reproduction in Hydra (a freshwater organism) where a new individual grows as an outgrowth (bud) from the parent and eventually detaches to form a separate organism.","Reproduction in Animals"
"What is the function of the placenta in mammals?","Protects the embryo from shocks","Allows exchange of gases, nutrients and wastes between mother and foetus","Produces sperm","Stores urine","B","HARD","SS2","THIRD","The placenta is a temporary organ that connects the developing foetus to the mother's uterine wall. It allows for the exchange of oxygen, nutrients, and waste products between maternal and foetal blood without them mixing.","Reproduction in Animals"
"Which of the following disease is transmitted by the female Anopheles mosquito?","Cholera","Malaria","Tuberculosis","Typhoid","B","EASY","JSS3","SECOND","Malaria is caused by the Plasmodium parasite and transmitted through the bite of the female Anopheles mosquito. It is a leading cause of death in tropical regions including Nigeria.","Health & Disease"
"The organism responsible for causing tuberculosis (TB) is","a virus","a protozoan","a bacterium (Mycobacterium tuberculosis)","a fungus","C","MEDIUM","JSS3","SECOND","Tuberculosis is caused by the bacterium Mycobacterium tuberculosis. It primarily affects the lungs and is spread through airborne droplets when an infected person coughs or sneezes.","Health & Disease"
"Which of the following is a deficiency disease?","Malaria","Kwashiorkor","Cholera","Typhoid","B","EASY","JSS3","SECOND","Kwashiorkor is a severe form of protein-energy malnutrition caused by a diet very low in protein. It is common in young children and is characterised by oedema, a swollen belly, and growth retardation.","Health & Disease"
