text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"A body of mass 2 kg is moving at 10 m/s. Its kinetic energy is","100 J","20 J","200 J","10 J","A","MEDIUM","SS1","THIRD","KE = ½mv² = ½ × 2 × 10² = ½ × 2 × 100 = 100 J.","Work, Energy & Power"
"Power is defined as the","product of force and velocity","rate of doing work","work done per unit distance","force per unit area","B","EASY","SS1","THIRD","Power is the rate at which work is done (or energy is transferred). P = W/t. It can also be expressed as P = Fv.","Work, Energy & Power"
"A machine does 500 J of work in 10 seconds. Its power output is","50 W","5000 W","50 kW","500 W","A","EASY","SS1","THIRD","Power P = W/t = 500/10 = 50 W.","Work, Energy & Power"
"Which principle states that energy can neither be created nor destroyed but can be converted from one form to another?","Newton's law","Archimedes' principle","Law of conservation of energy","Pascal's principle","C","EASY","SS1","THIRD","The law of conservation of energy is a fundamental principle in physics. Energy changes form but the total amount remains constant.","Work, Energy & Power"
"The efficiency of a machine is defined as","input work divided by output work","output work divided by input work multiplied by 100%","output force divided by input force","load divided by effort","B","MEDIUM","SS1","THIRD","Efficiency = (useful output work / total input work) × 100%. A perfect machine would have 100% efficiency but this is impossible due to friction.","Work, Energy & Power"
"Which of the following best describes pressure?","Force times area","Force per unit area","Mass per unit volume","Work done per unit time","B","EASY","SS2","FIRST","Pressure is defined as force per unit area: P = F/A. Its SI unit is the Pascal (Pa) which equals N/m².","Pressure"
"Archimedes' principle states that a body immersed in a fluid experiences an upthrust equal to the","weight of the body","volume of the body","weight of fluid displaced","mass of fluid displaced","C","EASY","SS2","FIRST","Archimedes' principle: the upthrust (buoyant force) on a body equals the weight of fluid it displaces. This explains why objects float or sink.","Pressure"
"A body floats in a liquid when its weight is","greater than the upthrust","less than the upthrust","equal to the upthrust","equal to the atmospheric pressure","C","MEDIUM","SS2","FIRST","For a body to float, the upthrust (weight of fluid displaced) must exactly equal the weight of the body. This is the law of flotation.","Pressure"
"Pascal's principle states that pressure applied to an enclosed fluid is","reduced uniformly","transmitted equally in all directions","absorbed by the walls of the container","only transmitted upwards","B","MEDIUM","SS2","FIRST","Pascal's principle: pressure applied to a confined fluid is transmitted undiminished in all directions throughout the fluid. This is the basis of hydraulic machines.","Pressure"
"The SI unit of pressure is","Newton","Pascal","Joule","Bar","B","EASY","SS2","FIRST","The SI unit of pressure is the Pascal (Pa). 1 Pa = 1 N/m². Atmospheric pressure is approximately 101,325 Pa.","Pressure"
"The number of complete oscillations a wave makes per second is called its","wavelength","amplitude","frequency","period","C","EASY","SS2","SECOND","Frequency is the number of complete oscillations (cycles) per second, measured in Hertz (Hz). Period is the time for one complete oscillation.","Waves"
"The relationship between wave speed (v), frequency (f) and wavelength (λ) is","v = f/λ","v = fλ","v = λ/f","f = vλ","B","EASY","SS2","SECOND","The wave equation is v = fλ, where v is wave speed in m/s, f is frequency in Hz, and λ is wavelength in m.","Waves"
"Which of the following types of wave requires a material medium for transmission?","Light waves","Radio waves","Sound waves","X-rays","C","EASY","SS2","SECOND","Sound is a mechanical (longitudinal) wave that requires a medium (solid, liquid or gas) to travel through. Electromagnetic waves like light can travel through a vacuum.","Waves"
"The distance between two successive crests of a transverse wave is called","amplitude","period","frequency","wavelength","D","EASY","SS2","SECOND","Wavelength is the distance between two successive crests (or troughs) in a transverse wave, or between two successive compressions in a longitudinal wave.","Waves"
"A wave has a frequency of 200 Hz and a wavelength of 1.5 m. What is its speed?","300 m/s","133.3 m/s","201.5 m/s","198.5 m/s","A","MEDIUM","SS2","SECOND","v = fλ = 200 × 1.5 = 300 m/s.","Waves"
"Which of the following is a longitudinal wave?","Water waves","Light waves","Sound waves","Electromagnetic waves","C","MEDIUM","SS2","SECOND","In longitudinal waves, particles vibrate parallel to the direction of energy propagation. Sound waves are longitudinal. Transverse waves (e.g. light, water waves) have particles vibrating perpendicular to propagation.","Waves"
"The pitch of a sound is determined by its","amplitude","wavelength","frequency","intensity","C","EASY","SS2","SECOND","Pitch is the human perception of frequency. A high-frequency sound has a high pitch; a low-frequency sound has a low pitch.","Sound"
"The loudness of a sound depends on its","frequency","speed","amplitude","wavelength","C","EASY","SS2","SECOND","Loudness (volume) depends on the amplitude of the sound wave. Larger amplitude means more energy and a louder sound.","Sound"
"The speed of sound in air at 0°C is approximately","340 m/s","3 × 10⁸ m/s","1500 m/s","150 m/s","A","EASY","SS2","SECOND","The speed of sound in air at room temperature is approximately 340 m/s (and about 331 m/s at 0°C). It is much slower than the speed of light.","Sound"
"The phenomenon by which sound bounces back after hitting a hard surface is called","refraction","diffraction","echo","resonance","C","EASY","SS2","SECOND","An echo is the reflection of sound. For a distinct echo, the reflecting surface must be at least 17 m away from the source (since the ear needs at least 0.1 s to distinguish the echo).","Sound"
"Resonance in sound occurs when the natural frequency of a body","differs from the forcing frequency","is equal to the forcing frequency","is double the forcing frequency","is zero","B","MEDIUM","SS2","SECOND","Resonance occurs when a body is made to vibrate at its own natural frequency by an external force of the same frequency, resulting in maximum amplitude.","Sound"
"The bending of light as it passes from one medium to another is called","reflection","diffraction","refraction","dispersion","C","EASY","SS2","THIRD","Refraction is the change in direction (and speed) of light as it passes from one optical medium to another with different optical densities.","Light & Optics"
"Which law states that the angle of incidence equals the angle of reflection?","Snell's law","Law of reflection","Archimedes' law","Newton's law","B","EASY","SS2","THIRD","The law of reflection states that the angle of incidence equals the angle of reflection, and the incident ray, reflected ray and normal all lie in the same plane.","Light & Optics"
"The critical angle is the angle of incidence in the denser medium for which the angle of refraction is","0°","45°","90°","180°","C","MEDIUM","SS2","THIRD","The critical angle is the specific angle of incidence (in the denser medium) that produces an angle of refraction of 90°. Beyond this angle, total internal reflection occurs.","Light & Optics"
"A concave lens is also called a","converging lens","diverging lens","plane lens","cylindrical lens","B","EASY","SS2","THIRD","A concave (diverging) lens causes parallel rays of light to spread out as if coming from a virtual focal point. A convex (converging) lens brings parallel rays to a real focal point.","Light & Optics"
"The phenomenon responsible for the formation of a rainbow is","reflection","refraction and dispersion","diffraction","total internal reflection","B","MEDIUM","SS2","THIRD","A rainbow forms when sunlight is refracted and dispersed (split into its component colours) by raindrops. Each colour bends at a slightly different angle due to different refractive indices.","Light & Optics"
"The refractive index of glass is 1.5. What is the critical angle?","30°","41.8°","45°","48.6°","B","HARD","SS2","THIRD","sin(C) = 1/n = 1/1.5 = 0.667. C = sin⁻¹(0.667) ≈ 41.8°. Total internal reflection occurs at angles greater than this.","Light & Optics"
"The conventional direction of electric current flow is","from negative to positive terminal","from positive to negative terminal","in both directions simultaneously","perpendicular to the circuit","B","EASY","SS2","THIRD","By convention, current flows from the positive terminal to the negative terminal of a battery (opposite to the actual flow of electrons, which move from negative to positive).","Electricity Basics"
"Ohm's law states that the current through a conductor is","directly proportional to its resistance","inversely proportional to the voltage","directly proportional to the voltage at constant temperature","independent of temperature","C","EASY","SS2","THIRD","Ohm's law: V = IR, meaning current (I) is directly proportional to voltage (V) at constant temperature. Resistance (R) is the constant of proportionality.","Electricity Basics"
"Three resistors of 2 Ω, 3 Ω and 6 Ω are connected in parallel. Their combined resistance is","11 Ω","1 Ω","0.91 Ω","5 Ω","B","MEDIUM","SS2","THIRD","For parallel: 1/R = 1/2 + 1/3 + 1/6 = 3/6 + 2/6 + 1/6 = 6/6 = 1. Therefore R = 1 Ω.","Electricity Basics"
"Two resistors of 4 Ω and 6 Ω are connected in series. Their total resistance is","10 Ω","2.4 Ω","24 Ω","5 Ω","A","EASY","SS2","THIRD","For series connection, total resistance = R₁ + R₂ = 4 + 6 = 10 Ω.","Electricity Basics"
"The electrical energy consumed by a device of power 100 W operating for 2 hours is","200 Wh","50 Wh","100 Wh","400 Wh","A","EASY","SS2","THIRD","Energy = Power × time = 100 W × 2 h = 200 Wh (or 0.2 kWh, which is 0.2 units of electricity).","Electricity Basics"
"A magnetic field is produced around a wire whenever","a static charge is placed on it","current flows through it","it is insulated","it is made of copper","B","EASY","SS3","FIRST","A current-carrying conductor produces a magnetic field around it. This is the basis of electromagnetism, discovered by Oersted.","Electromagnetism"
"The direction of the magnetic field around a straight current-carrying conductor is given by","Fleming's left-hand rule","Lenz's law","the right-hand grip rule","Faraday's law","C","MEDIUM","SS3","FIRST","The right-hand grip rule: if you grip the wire with your right hand with the thumb pointing in the direction of current, the curled fingers indicate the direction of the magnetic field.","Electromagnetism"
"Electromagnetic induction is the process by which","current produces a magnetic field","a changing magnetic field induces an EMF","a conductor repels a magnet","electric fields create protons","B","EASY","SS3","FIRST","Electromagnetic induction (Faraday's law): a changing magnetic flux through a conductor induces an electromotive force (EMF) in that conductor.","Electromagnetism"
"Lenz's law states that the induced EMF is in a direction that","aids the change causing it","opposes the change causing it","is perpendicular to the change","is independent of the change","B","MEDIUM","SS3","FIRST","Lenz's law is a consequence of the law of conservation of energy. The induced current creates a magnetic field that opposes the change in flux that produced it.","Electromagnetism"
"A transformer steps up voltage by a factor of 10. If the primary has 100 turns, the secondary has","10 turns","100 turns","1000 turns","1 turn","C","MEDIUM","SS3","FIRST","Ns/Np = Vs/Vp. If the voltage steps up by 10, turns ratio = 10. Ns = 10 × 100 = 1000 turns.","Electromagnetism"
"Fleming's left-hand rule is used to determine the direction of force on a","charged particle in an electric field","current-carrying conductor in a magnetic field","conductor generating EMF","magnet near a coil","B","MEDIUM","SS3","FIRST","Fleming's left-hand rule (motor rule): the thumb, index finger and middle finger of the left hand represent the direction of force (motion), magnetic field, and current respectively.","Electromagnetism"
"The phenomenon where certain materials emit electrons when exposed to light is called","thermionic emission","photoelectric effect","pair production","Compton effect","B","MEDIUM","SS3","SECOND","The photoelectric effect (discovered by Heinrich Hertz, explained by Einstein) is the emission of electrons from a material's surface when light of sufficient frequency (above the threshold frequency) strikes it.","Atomic Physics"
"According to Einstein's photoelectric equation, the maximum kinetic energy of emitted electrons is","hf","hf + W","hf - W","W - hf","C","HARD","SS3","SECOND","Einstein's photoelectric equation: KE_max = hf - W, where h is Planck's constant, f is the frequency of the incident light, and W (work function) is the minimum energy needed to remove an electron.","Atomic Physics"
"The nucleus of an atom consists of","protons and electrons","protons and neutrons","neutrons and electrons","only protons","B","EASY","SS3","SECOND","The atomic nucleus contains protons (positively charged) and neutrons (no charge). Electrons orbit the nucleus in shells.","Atomic Physics"
"The number of protons in the nucleus of an atom is called the","mass number","neutron number","atomic number","nucleon number","C","EASY","SS3","SECOND","The atomic number (Z) is the number of protons in the nucleus. It identifies the element. The mass number (A) is the total number of protons and neutrons.","Atomic Physics"
"Isotopes are atoms of the same element with","the same mass number","different atomic numbers","different numbers of neutrons","different numbers of protons","C","MEDIUM","SS3","SECOND","Isotopes have the same atomic number (same number of protons) but different mass numbers because they have different numbers of neutrons. E.g., Carbon-12 and Carbon-14.","Atomic Physics"
"The energy of a photon is given by","E = mc²","E = hf","E = ½mv²","E = qV","B","MEDIUM","SS3","SECOND","The energy of a photon E = hf, where h is Planck's constant (6.63 × 10⁻³⁴ Js) and f is the frequency of the electromagnetic radiation.","Atomic Physics"
"Alpha particles are identical to the nucleus of which atom?","Hydrogen","Lithium","Helium","Beryllium","C","MEDIUM","SS3","SECOND","Alpha particles consist of 2 protons and 2 neutrons — identical to a helium-4 nucleus (₂⁴He). They have a charge of +2 and are relatively massive.","Nuclear Physics"
"Which type of nuclear radiation has the greatest penetrating power?","Alpha particles","Beta particles","Gamma rays","X-rays","C","EASY","SS3","SECOND","Gamma rays are high-energy electromagnetic radiation with the greatest penetrating power. Alpha particles are stopped by paper, beta by a few mm of aluminium, but gamma requires several cm of lead to significantly attenuate.","Nuclear Physics"
"Radioactive decay follows which type of mathematical relationship?","Linear","Quadratic","Exponential","Logarithmic","C","MEDIUM","SS3","SECOND","Radioactive decay follows exponential decay: N = N₀e^(-λt), where λ is the decay constant. The number of undecayed nuclei decreases exponentially with time.","Nuclear Physics"
"The half-life of a radioactive substance is the time taken for","all the atoms to decay","half the atoms to decay","the activity to double","the substance to lose half its mass","B","EASY","SS3","SECOND","Half-life (T½) is the time taken for half of the radioactive nuclei in a sample to decay. After each half-life, the activity reduces by half.","Nuclear Physics"
"A radioactive substance has a half-life of 20 years. After 60 years, the fraction of the original sample remaining is","1/2","1/4","1/8","1/6","C","MEDIUM","SS3","SECOND","Number of half-lives = 60/20 = 3. Fraction remaining = (½)³ = 1/8.","Nuclear Physics"
"Nuclear fission is the process in which","small nuclei combine to form a larger nucleus","a heavy nucleus splits into smaller nuclei","electrons are emitted from a nucleus","neutrons are absorbed without splitting","B","EASY","SS3","THIRD","Nuclear fission is the splitting of a heavy nucleus (e.g. Uranium-235) into two smaller nuclei when struck by a neutron, releasing a large amount of energy.","Nuclear Physics"
"Which of the following is used as a moderator in a nuclear reactor?","Lead","Heavy water (D₂O)","Uranium","Steel","B","HARD","SS3","THIRD","A moderator slows down fast neutrons to thermal (slow) speeds needed for fission. Heavy water (D₂O) and graphite are common moderators. Control rods (made of boron or cadmium) absorb neutrons.","Nuclear Physics"
"In a p-n junction diode, conventional current flows","from n-type to p-type","from p-type to n-type","in both directions","only when reverse biased","B","MEDIUM","SS3","THIRD","In a forward-biased p-n junction, conventional current (positive charge flow) moves from the p-type (anode) to the n-type (cathode) side through the diode.","Electronics"
"Which of the following electronic components is used to amplify signals?","Diode","Resistor","Transistor","Capacitor","C","EASY","SS3","THIRD","A transistor can be used as an amplifier. A small input signal at the base controls a larger current between collector and emitter, amplifying the signal.","Electronics"
"In digital electronics, a logic gate that gives an output of 1 only when all inputs are 1 is the","OR gate","NOT gate","AND gate","NAND gate","C","EASY","SS3","THIRD","The AND gate produces a HIGH (1) output only when ALL inputs are HIGH (1). Its boolean expression is Y = A·B.","Electronics"
"Which logic gate produces an output that is the complement (opposite) of its input?","AND","OR","NOT","XOR","C","EASY","SS3","THIRD","The NOT gate (inverter) produces the complement of its input: if input is 1, output is 0, and vice versa. Its boolean expression is Y = Ā.","Electronics"
"A full-wave rectifier converts","DC to AC","AC to DC by using both halves of the cycle","AC to DC by using only one half of the cycle","DC to pulsating DC","B","MEDIUM","SS3","THIRD","A full-wave rectifier uses both the positive and negative halves of the AC cycle, producing a more complete DC output compared to a half-wave rectifier.","Electronics"
"Which of the following is a renewable source of energy?","Coal","Natural gas","Petroleum","Solar energy","D","EASY","SS3","THIRD","Solar energy is renewable because it comes from the Sun, which is an inexhaustible (on human timescales) source. Fossil fuels (coal, gas, petroleum) are non-renewable finite resources.","Energy Sources"
"The type of energy conversion in a solar cell is","mechanical to electrical","chemical to electrical","light (solar) to electrical","thermal to electrical","C","EASY","SS3","THIRD","A solar cell (photovoltaic cell) converts light (solar) energy directly into electrical energy using the photovoltaic effect in semiconductor materials.","Energy Sources"
"Which of the following energy sources causes the least environmental pollution?","Coal-fired power stations","Nuclear power stations","Hydroelectric power stations","Natural gas power stations","C","MEDIUM","SS3","THIRD","Hydroelectric power generates electricity from flowing water with no direct carbon emissions or air pollution during operation, making it the cleanest option in the list.","Energy Sources"
"The process by which the Sun generates its energy is","nuclear fission","nuclear fusion","combustion","radioactive decay","B","MEDIUM","SS3","THIRD","The Sun generates energy through nuclear fusion: hydrogen nuclei (protons) fuse together to form helium nuclei, releasing an enormous amount of energy according to E = mc².","Energy Sources"
"Which of the following is NOT a form of energy?","Kinetic energy","Thermal energy","Power","Chemical energy","C","EASY","SS3","THIRD","Power is the rate of doing work (or transferring energy), not a form of energy itself. Kinetic, thermal and chemical energy are all genuine forms of energy.","Energy Sources"
"Physics is best described as the study of","living organisms","chemical reactions","matter and energy and their interactions","the composition of substances","C","EASY","JSS3","FIRST","Physics is the branch of natural science that studies matter, energy, and the fundamental forces of nature, and how they interact with each other.","Introduction to Physics"
"Which of the following is a fundamental unit in the SI system?","Newton","Joule","Kelvin","Pascal","C","EASY","JSS3","FIRST","The SI base units include the metre, kilogram, second, ampere, kelvin, mole and candela. Newton, Joule and Pascal are derived units.","Introduction to Physics"
"The instrument used to measure temperature is called a","barometer","thermometer","hygrometer","anemometer","B","EASY","JSS3","FIRST","A thermometer measures temperature. A barometer measures atmospheric pressure, a hygrometer measures humidity, and an anemometer measures wind speed.","Introduction to Physics"
"Which of the following instruments is used to measure atmospheric pressure?","Thermometer","Barometer","Ammeter","Voltmeter","B","EASY","JSS3","FIRST","A barometer measures atmospheric pressure. Evangelista Torricelli invented the mercury barometer. Standard atmospheric pressure is approximately 101,325 Pa or 760 mmHg.","Introduction to Physics"
"A simple machine is a device that","generates energy","changes the speed of a body","makes work easier by changing the magnitude or direction of a force","converts heat to electricity","C","EASY","JSS3","SECOND","A simple machine makes work easier. It can change the magnitude or direction of an applied force. Examples include levers, pulleys, inclined planes, screws and wheel-and-axle.","Simple Machines"
"The mechanical advantage of a machine is defined as","output force divided by input force","input force divided by output force","output distance divided by input distance","work output divided by time","A","MEDIUM","JSS3","SECOND","Mechanical advantage (MA) = Load / Effort = output force / input force. A MA greater than 1 means the machine multiplies force.","Simple Machines"
"Which class of lever has the effort between the fulcrum and the load?","First class","Second class","Third class","Fourth class","C","MEDIUM","JSS3","SECOND","In a third-class lever, the effort is applied between the fulcrum and the load. Examples include tweezers, fishing rods and the human forearm. These levers multiply distance/speed rather than force.","Simple Machines"
"A pulley system with three supporting ropes (velocity ratio = 3) is used to lift a 300 N load. The effort required (assuming 100% efficiency) is","900 N","100 N","150 N","300 N","B","MEDIUM","JSS3","SECOND","Effort = Load / Velocity Ratio = 300 / 3 = 100 N. With 100% efficiency, MA = VR, so Effort = Load/VR.","Simple Machines"
"An inclined plane is used to slide a box of weight 600 N onto a truck 1.5 m high using a plank 3 m long. The effort needed (ignoring friction) is","300 N","200 N","1200 N","400 N","A","MEDIUM","JSS3","SECOND","VR = length/height = 3/1.5 = 2. Effort = Load/VR = 600/2 = 300 N. The inclined plane reduces the force needed but increases the distance over which it is applied.","Simple Machines"
"Heat transfer by direct contact between particles of matter is called","convection","radiation","conduction","evaporation","C","EASY","JSS3","THIRD","Conduction is heat transfer through direct particle-to-particle contact. Metals are good conductors. Convection involves fluid movement; radiation requires no medium.","Heat"
"Which method of heat transfer can occur through a vacuum?","Conduction","Convection","Radiation","Evaporation","C","EASY","JSS3","THIRD","Radiation is the transfer of heat energy in the form of electromagnetic waves (infrared radiation). Unlike conduction and convection, it does not require a material medium and can travel through a vacuum.","Heat"
"The fixed temperature at which a pure substance changes from solid to liquid is called its","boiling point","freezing point","melting point","dew point","C","EASY","JSS3","THIRD","The melting point is the temperature at which a solid changes to a liquid at atmospheric pressure. For ice, the melting point is 0°C.","Heat"
"The specific heat capacity of a substance is","the heat needed to melt 1 kg of the substance","the heat needed to raise the temperature of 1 kg by 1°C","the heat released when 1 kg vaporises","the ratio of heat to volume","B","MEDIUM","JSS3","THIRD","Specific heat capacity (c) is the amount of heat energy needed to raise the temperature of 1 kg of a substance by 1 K (or 1°C). Q = mcΔT.","Heat"
"The absolute zero of temperature in Kelvin is","-273°C","0°C","100°C","-100°C","A","MEDIUM","JSS3","THIRD","Absolute zero is 0 K, which equals -273.15°C. It is the lowest theoretically possible temperature, at which particles have minimum thermal energy.","Heat"
"Which of the following statements about mass and weight is CORRECT?","Mass changes with location; weight does not","Weight changes with location; mass does not","Both mass and weight change with location","Neither mass nor weight changes with location","B","MEDIUM","SS1","SECOND","Mass is a scalar quantity that is constant regardless of location. Weight (W = mg) depends on gravitational field strength (g), which varies with location (e.g. on the Moon g is about 1/6 of Earth's value).","Forces"
"A body is thrown vertically upward with an initial velocity of 20 m/s. The maximum height reached (g = 10 m/s²) is","20 m","40 m","10 m","30 m","A","MEDIUM","SS1","FIRST","At maximum height, v = 0. Using v² = u² - 2gh: 0 = 400 - 2(10)h → h = 400/20 = 20 m.","Motion"
"The gradient of a velocity-time graph gives","distance","displacement","acceleration","speed","C","MEDIUM","SS1","FIRST","The gradient (slope) of a velocity-time graph gives acceleration. The area under the graph gives displacement.","Motion"
"A ticker tape shows 5 dots per centimetre. The frequency of the timer is 50 Hz. What is the time interval between each dot?","0.02 s","0.2 s","5 s","50 s","A","MEDIUM","SS1","FIRST","Period = 1/frequency = 1/50 = 0.02 s. This means the timer makes one dot every 0.02 seconds.","Motion"
"Which of the following is NOT a vector quantity?","Acceleration","Momentum","Distance","Displacement","C","EASY","SS1","FIRST","Distance is a scalar quantity (magnitude only). Acceleration, momentum and displacement are all vector quantities (they have both magnitude and direction).","Scalars & Vectors"
"The base unit for length in the SI system is","centimetre","foot","metre","kilometre","C","EASY","SS1","FIRST","The SI (International System of Units) base unit for length is the metre (m). Centimetre, millimetre and kilometre are multiples or sub-multiples of the metre.","Measurement & Units"
"The number of significant figures in the value 0.00450 is","5","3","6","2","B","HARD","SS1","FIRST","In 0.00450, the leading zeros are not significant (they only locate the decimal point). The significant figures are 4, 5 and 0 (the trailing zero after the 5 is significant). So there are 3 significant figures.","Measurement & Units"
"A vernier caliper has a main scale reading of 2.3 cm and a vernier scale reading of 0.04 cm. The actual reading is","2.34 cm","2.26 cm","2.30 cm","2.04 cm","A","MEDIUM","SS1","FIRST","The total reading = main scale reading + vernier scale reading = 2.3 + 0.04 = 2.34 cm.","Measurement & Units"
"The turning effect of a force about a pivot is called","pressure","torque (moment)","impulse","power","B","MEDIUM","SS1","SECOND","The moment (torque) of a force about a pivot is the product of the force and its perpendicular distance from the pivot. M = F × d. Its SI unit is Nm.","Forces"
"The principle of moments states that for a body in equilibrium, the sum of clockwise moments","equals zero","is greater than anti-clockwise moments","equals the sum of anti-clockwise moments","is less than anti-clockwise moments","C","MEDIUM","SS1","SECOND","The principle of moments (for a body in rotational equilibrium): sum of clockwise moments = sum of anti-clockwise moments about any point.","Forces"
"Which of the following correctly defines impulse?","Force × distance","Force × time","Mass × acceleration","Work done per second","B","MEDIUM","SS1","SECOND","Impulse = Force × time = Ft. It equals the change in momentum of the object (Ft = mv - mu). Its SI unit is Ns (Newton-second).","Forces"
"The law of conservation of momentum states that the total momentum of a system of bodies","increases after every collision","decreases after every collision","remains constant provided no external force acts","depends on the type of collision","C","MEDIUM","SS1","SECOND","The law of conservation of linear momentum: in a closed system (no external net force), total momentum before = total momentum after a collision or interaction.","Forces"
"What is the velocity ratio of a single fixed pulley?","1","2","3","0","A","EASY","JSS3","SECOND","A single fixed pulley has a velocity ratio of 1. It does not multiply force — it only changes the direction of the applied force, making pulling downward easier than lifting upward.","Simple Machines"
"Heat energy required to change 2 kg of ice at 0°C to water at 0°C (latent heat of fusion of ice = 3.36 × 10⁵ J/kg) is","6.72 × 10⁵ J","1.68 × 10⁵ J","3.36 × 10⁵ J","6.72 × 10⁶ J","A","MEDIUM","JSS3","THIRD","Q = mL = 2 × 3.36 × 10⁵ = 6.72 × 10⁵ J. The latent heat of fusion is energy absorbed during melting at constant temperature.","Heat"
"The loudness of sound is measured in","Hertz","Metres","Decibels","Watts","C","EASY","SS2","SECOND","The loudness (intensity level) of sound is measured in decibels (dB). Frequency is measured in Hertz (Hz).","Sound"
"Visible light is part of the electromagnetic spectrum. Which colour has the highest frequency?","Red","Green","Blue","Violet","D","MEDIUM","SS2","THIRD","In the visible spectrum, violet light has the highest frequency (and shortest wavelength), while red has the lowest frequency (and longest wavelength). ROYGBIV order goes from red (lowest frequency) to violet (highest frequency).","Light & Optics"
"The power of a lens is measured in","metres","millimetres","dioptres","candela","C","MEDIUM","SS2","THIRD","The power of a lens P = 1/f, where f is the focal length in metres. The unit of lens power is the dioptre (D).","Light & Optics"
"What is the speed of light in a vacuum?","3 × 10⁶ m/s","3 × 10⁸ m/s","3 × 10¹⁰ m/s","3 × 10⁴ m/s","B","EASY","SS2","THIRD","The speed of light in a vacuum is approximately 3 × 10⁸ m/s (exactly 299,792,458 m/s). This is denoted by 'c'.","Light & Optics"
"Which of the following best describes the process of nuclear fusion?","A heavy nucleus splitting into smaller parts","Two light nuclei combining to form a heavier nucleus","A nucleus emitting alpha radiation","Neutron capture without fission","B","MEDIUM","SS3","THIRD","Nuclear fusion is the joining of two light nuclei (e.g. hydrogen isotopes deuterium and tritium) to form a heavier nucleus. It releases enormous energy and is the process powering the Sun.","Nuclear Physics"
"The binding energy per nucleon is greatest for which element?","Uranium","Iron","Hydrogen","Carbon","B","HARD","SS3","SECOND","Iron-56 has the highest binding energy per nucleon (~8.8 MeV), making it the most stable nucleus. Elements lighter than iron release energy by fusion; heavier elements release energy by fission.","Nuclear Physics"
"In a NPN transistor used as a switch or amplifier, the three terminals are","source, gate, drain","anode, cathode, gate","emitter, base, collector","input, output, ground","C","MEDIUM","SS3","THIRD","A bipolar junction transistor (BJT) has three terminals: emitter, base and collector. In an NPN transistor, a small current into the base controls a larger current from collector to emitter.","Electronics"
