text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Select the correct pronoun: 'It was ___ who broke the window — Emeka and ___.'","him...I","he...me","him...me","he...I","B","HARD","SS1","THIRD","After 'It was', a subject pronoun is used: 'he'. After a preposition or verb, an object pronoun is used. Here 'Emeka and me' is the object of the preposition (in apposition), so 'me' is correct.","Grammar: Pronouns"
"Choose the correct preposition: 'The boy is good ___ mathematics.'","in","at","for","with","B","EASY","SS1","THIRD","The correct collocation is 'good at' a subject or skill. We say 'good at mathematics', not 'good in mathematics'.","Grammar: Prepositions"
"Which of the following sentences is grammatically CORRECT?","Each of the boys have a pen.","Each of the boys has a pen.","Each of the boys are having a pen.","Each of the boys have had a pen.","B","MEDIUM","SS1","THIRD","'Each' is always singular and takes a singular verb. Therefore, 'Each of the boys has a pen' is correct.","Grammar: Subject-Verb Agreement"
"Choose the correct tense: 'She ___ in this school since 2019.'","teaches","has been teaching","taught","was teaching","B","MEDIUM","SS2","FIRST","The present perfect continuous tense 'has been teaching' is used for an action that started in the past and continues into the present. The signal word 'since' indicates this.","Grammar: Tenses"
"Identify the correct option: 'The committee ___ reached a decision.'","have","has","are","were","B","MEDIUM","SS2","FIRST","'Committee' is a collective noun that is treated as singular in Nigerian/British English when acting as a unit. Therefore, the singular verb 'has' is correct.","Grammar: Subject-Verb Agreement"
"Complete the sentence with the correct preposition: 'The suspect was accused ___ theft.'","for","with","of","on","C","EASY","SS2","FIRST","The correct collocation is 'accused of'. We accuse someone 'of' an offence, not 'for' or 'with'.","Grammar: Prepositions"
"Which sentence correctly uses the article 'AN'?","An historical event","An one-eyed man","An European city","An ugly duckling","D","MEDIUM","SS2","FIRST","'An' is used before words that begin with a vowel sound. 'Ugly' begins with a vowel sound /ʌ/. 'Historical', 'one', and 'European' all begin with consonant sounds despite starting with vowels.","Grammar: Articles"
"Choose the reflexive pronoun that correctly completes the sentence: 'The president ___ attended the funeral.'","him","himself","hisself","his own","B","EASY","SS2","FIRST","'Himself' is the reflexive/emphatic pronoun for the third-person singular masculine. 'Hisself' is non-standard English.","Grammar: Pronouns"
"Which of the following words contains the vowel sound /iː/ as in 'FEET'?","Kit","Bit","Beat","Fit","C","EASY","SS2","SECOND","'Beat' contains the long vowel sound /iː/. The other words (kit, bit, fit) contain the short vowel sound /ɪ/.","Oral English: Vowel Sounds"
"In which of the following words is the primary stress on the SECOND syllable?","REcord (noun)","PROtest (noun)","conTEST (verb)","IMport (noun)","C","MEDIUM","SS2","SECOND","When 'contest' is used as a verb, the stress falls on the second syllable: con-TEST. As a noun, it is CON-test. Options A, B, and D are nouns with stress on the first syllable.","Oral English: Word Stress"
"Which pair of words RHYME with each other?","Cough and rough","Though and through","Bough and cow","Dough and now","C","MEDIUM","SS2","SECOND","'Bough' is pronounced /baʊ/ and 'cow' is pronounced /kaʊ/. They share the same vowel sound and thus rhyme. The others have different vowel sounds despite similar spellings.","Oral English: Rhymes"
"Which of the following words has the consonant sound /ʃ/ as in 'SHOE'?","Chef","Chair","Check","Chase","A","HARD","SS2","SECOND","'Chef' contains the /ʃ/ sound. 'Chair', 'check', and 'chase' all begin with the /tʃ/ (ch) sound, not /ʃ/.","Oral English: Consonant Sounds"
"In English intonation, a RISING tone at the end of a sentence typically indicates a/an _____.","Statement of fact","Command","Yes/No question","Exclamation","C","MEDIUM","SS2","SECOND","In English, a rising intonation at the end of an utterance typically signals a yes/no question, or uncertainty, inviting a response.","Oral English: Intonation"
"Which of the following words is stressed on the FIRST syllable?","BeGIN","reLAX","PREsent (noun)","exCITE","C","EASY","SS2","SECOND","'Present' as a noun is stressed on the first syllable: PRE-sent. As a verb, it becomes pre-SENT. The other options all have stress on the second syllable.","Oral English: Word Stress"
"The word 'PHONE' begins with which consonant sound?","/p/","/ph/","/f/","/v/","C","MEDIUM","SS2","SECOND","Despite being spelled with 'ph', the word 'phone' begins with the consonant sound /f/, as 'ph' in English represents the /f/ sound.","Oral English: Consonant Sounds"
"A summary of a passage should PRIMARILY aim to _____.","include all details of the passage","reproduce the passage in the writer's own words","present only the main points concisely","use as many quotations as possible","C","EASY","SS2","THIRD","A good summary presents only the main points and essential ideas of the original passage, expressed concisely. It avoids unnecessary details and quotations.","Summary Writing Skills"
"Which of the following essay types is written to convince the reader to accept a particular point of view?","Narrative essay","Descriptive essay","Expository essay","Argumentative essay","D","EASY","SS2","THIRD","An argumentative (or persuasive) essay is written with the primary purpose of convincing the reader to accept or agree with the writer's point of view.","Essay Types"
"In summary writing, the instruction 'in your OWN words' means you should _____.","Copy sentences from the passage verbatim","Paraphrase the passage avoiding direct copying","Add your personal opinions to the passage","Use quotation marks around every sentence","B","EASY","SS2","THIRD","'In your own words' means you must paraphrase — rewrite the ideas using different words and sentence structures — avoiding lifting sentences directly from the passage.","Summary Writing Skills"
"A letter written to apply for a job is an example of a/an ___ essay/writing type.","Informal letter","Personal letter","Formal letter","Creative writing","C","MEDIUM","SS2","THIRD","A job application letter is a formal letter because it follows a formal register and structure, addressed to an organisation or official person.","Essay Types: Formal Writing"
"When writing a narrative essay, the PRIMARY purpose is to _____.","Describe the appearance of a scene","Tell a story with events in sequence","Argue for a position","Explain a process","B","EASY","SS2","THIRD","A narrative essay tells a story, presenting events in a logical or chronological sequence. The other options describe descriptive, argumentative, and expository essays respectively.","Essay Types"
"Identify the figure of speech in: 'Life is a journey with no map.'","Simile","Metaphor","Personification","Oxymoron","B","EASY","SS3","FIRST","This is a metaphor because it makes a direct comparison between 'life' and 'a journey' without using 'like' or 'as'.","Figures of Speech: Metaphor"
"'The news hit him like a thunderbolt.' This sentence contains a _____.","Metaphor","Irony","Simile","Hyperbole","C","EASY","SS3","FIRST","This is a simile because it compares 'the news' to 'a thunderbolt' using the word 'like'.","Figures of Speech: Simile"
"'I have told you a million times not to do that!' is an example of _____.","Simile","Personification","Hyperbole","Irony","C","EASY","SS3","FIRST","This is a hyperbole — an extreme exaggeration used for emphasis or effect. The speaker has not literally said it a million times.","Figures of Speech: Hyperbole"
"'What lovely weather!' said sarcastically during a rainstorm is an example of _____.","Metaphor","Irony","Simile","Alliteration","B","MEDIUM","SS3","FIRST","This is verbal irony — saying the opposite of what is meant. The speaker does not actually find the rainy weather lovely.","Figures of Speech: Irony"
"'The wind whispered through the trees.' What figure of speech is this?","Simile","Metaphor","Personification","Hyperbole","C","MEDIUM","SS3","FIRST","Personification attributes human qualities (whispering) to a non-human thing (the wind). This makes the wind seem alive.","Figures of Speech: Personification"
"'Her voice was music to my ears.' This is an example of _____.","Simile","Hyperbole","Metaphor","Alliteration","C","MEDIUM","SS3","FIRST","This is a metaphor — it directly equates 'her voice' with 'music' without using 'like' or 'as'.","Figures of Speech: Metaphor"
"Identify the figure of speech: 'The pen is mightier than the sword.'","Simile","Hyperbole","Metaphor","Oxymoron","C","HARD","SS3","FIRST","This is a metaphor. It compares the power of writing ('pen') to military force ('sword') directly, implying writing has greater power. No 'like' or 'as' is used.","Figures of Speech: Metaphor"
"'Peter Piper picked a peck of pickled peppers.' This is an example of _____.","Assonance","Alliteration","Rhyme","Onomatopoeia","B","EASY","SS3","FIRST","Alliteration is the repetition of the same consonant sound at the beginning of closely connected words. Here, the /p/ sound is repeated throughout.","Figures of Speech: Alliteration"
"What is the meaning of the idiom 'BITE THE BULLET'?","To eat something hard","To endure a painful situation bravely","To fight someone","To tell a lie","B","MEDIUM","SS3","SECOND","'Bite the bullet' is an idiom meaning to endure a painful or difficult situation with courage and without complaint.","Register, Idioms & Proverbs"
"The proverb 'A stitch in time saves nine' means _____.","Sewing is an important skill","Acting promptly prevents bigger problems later","Nine is better than one","Clothes should be repaired often","B","MEDIUM","SS3","SECOND","This proverb advises that dealing with a problem early (one stitch) prevents it from becoming a bigger problem (nine stitches) later.","Register, Idioms & Proverbs"
"What is the meaning of the idiom 'TO BEAT AROUND THE BUSH'?","To search in a forest","To avoid the main topic","To work very hard","To argue violently","B","EASY","SS3","SECOND","'Beat around the bush' means to avoid speaking directly about a subject, to talk around the main issue.","Register, Idioms & Proverbs"
"Which of the following is an example of FORMAL REGISTER?","'Wassup bro, how far?'","'Dear Sir, I write to apply for the above position.'","'Hey, gimme that thing.'","'The test was mad hard, fam.'","B","EASY","SS3","SECOND","Formal register uses standard, polished language appropriate for official situations. Option B is the only example using formal, professional language.","Register: Formal and Informal"
"The language used in a courtroom during proceedings is an example of ___ register.","Informal","Colloquial","Legal/Formal","Slang","C","MEDIUM","SS3","SECOND","Language in a courtroom is highly formal and specialised — it belongs to the legal register. Specific terms and conventions are used.","Register: Language in Context"
"What does the proverb 'Don't count your chickens before they hatch' mean?","Chickens are important animals","Don't depend on something that has not yet happened","Always count your animals","Hatching eggs is difficult","B","EASY","SS3","SECOND","This proverb warns against making plans based on something that may not happen. Don't assume future success before it actually occurs.","Register, Idioms & Proverbs"
"'To let the cat out of the bag' means _____.","To release a pet accidentally","To reveal a secret","To be careless","To cause confusion","B","MEDIUM","SS3","SECOND","This idiom means to accidentally or carelessly reveal a secret or surprise that was meant to be kept hidden.","Register, Idioms & Proverbs"
"The register used in a newspaper editorial is best described as _____.","Colloquial","Informal","Formal/Journalistic","Slang","C","MEDIUM","SS3","SECOND","Newspaper editorials use a formal, journalistic register. The language is precise, objective, and follows standard conventions of formal writing.","Register: Language in Context"
"Transform the following sentence from active to passive voice: 'The teacher marked the scripts.'","The scripts was marked by the teacher.","The scripts were marked by the teacher.","The scripts are marked by the teacher.","The scripts had been marked by the teacher.","B","MEDIUM","SS3","THIRD","In passive voice (simple past), the object becomes the subject, the verb becomes 'was/were + past participle', and the subject becomes the agent (by phrase). 'Scripts' is plural so 'were' is correct.","Sentence Transformation: Active/Passive Voice"
"Choose the sentence with correct punctuation.","Lagos is the commercial capital of Nigeria, isn't it!","Lagos is the commercial capital of Nigeria isn't it?","Lagos is the commercial capital of Nigeria, isn't it?","Lagos is the commercial capital of Nigeria; isn't it?","C","MEDIUM","SS3","THIRD","A tag question ('isn't it?') is separated from the main clause by a comma and ends with a question mark. Option C is correctly punctuated.","Punctuation: Tag Questions"
"Which of the following sentences is a COMPLEX sentence?","The boy ran fast.","She sang and danced.","Although it was raining, they continued playing.","He is tall and she is short.","C","MEDIUM","SS3","THIRD","A complex sentence has one independent clause and at least one dependent (subordinate) clause. 'Although it was raining' is the dependent clause; 'they continued playing' is the independent clause.","Sentence Construction: Types of Sentences"
"Combine the two sentences into one using a relative clause: 'The woman is a doctor. She lives next door.'","The woman who lives next door is a doctor.","The woman which lives next door is a doctor.","The woman, whom lives next door, is a doctor.","The woman that she lives next door is a doctor.","A","MEDIUM","SS3","THIRD","'Who' is used as a relative pronoun for people. The relative clause 'who lives next door' correctly identifies which woman, giving us the complex sentence in option A.","Sentence Construction: Relative Clauses"
"Which of the following sentences contains a DANGLING MODIFIER?","Walking to school, the sun was hot.","The sun was hot as she walked to school.","She found the sun hot while walking to school.","Walking in the sun, she felt hot.","A","HARD","SS3","THIRD","In option A, 'walking to school' has no clear subject — it is the girl walking, not the sun. This is a dangling modifier because the phrase incorrectly modifies 'the sun'.","Sentence Construction: Dangling Modifiers"
"Choose the correctly punctuated sentence.","Its a beautiful day outside","It's a beautiful day outside.","Its' a beautiful day outside.","It's a beautiful day outside","B","EASY","SS3","THIRD","'It's' is the contraction of 'it is'. The apostrophe replaces the missing letter 'i'. The sentence also needs a full stop at the end. Option B is the only correctly punctuated sentence.","Punctuation: Apostrophes"
"Which of the following is a SIMPLE sentence?","I went to the market and my sister stayed home.","Because he was tired, he slept early.","The tall, dark stranger entered the room.","Either you apologise or you leave.","C","EASY","SS3","THIRD","A simple sentence has only one independent clause (one subject and one predicate). Option C has one subject ('the tall, dark stranger') and one predicate ('entered the room').","Sentence Construction: Simple Sentences"
"Read the passage: 'The principal walked into the examination hall with the gravity of a judge entering a courtroom. Every student froze.' The word 'gravity' as used here means _____.","Weight","Seriousness","Anger","Authority","B","MEDIUM","SS1","FIRST","In this context, 'gravity' means seriousness or solemnity. The comparison to a judge reinforces that the principal's demeanour commanded serious respect.","Comprehension: Vocabulary in Context"
"What is the TONE of a passage that uses words like 'outrageous', 'scandalous', and 'unacceptable'?","Joyful","Apologetic","Indignant","Humorous","C","MEDIUM","SS2","FIRST","Words like 'outrageous', 'scandalous', and 'unacceptable' convey strong disapproval and anger. This indicates an indignant (angry and morally offended) tone.","Comprehension: Tone"
"'Despite the difficulties, Ngozi pressed on.' What does 'pressed on' mean in this context?","Applied pressure","Ironed her clothes","Continued with determination","Pushed someone","C","EASY","SS1","FIRST","'Press on' is a phrasal verb meaning to continue doing something in a determined way despite difficulties or opposition.","Comprehension: Phrasal Verbs/Vocabulary"
"The author of a persuasive passage is PRIMARILY trying to _____.","Entertain the reader with a story","Inform the reader about facts","Convince the reader to agree with a viewpoint","Describe a scene in detail","C","EASY","SS2","THIRD","In a persuasive passage, the author's primary purpose is to convince or persuade the reader to adopt a particular viewpoint or take a specific action.","Comprehension: Author's Purpose"
"Read: 'The examination results were, to put it mildly, disappointing.' What does 'to put it mildly' suggest?","The results were slightly bad","The results were extremely bad but the speaker is understating it","The speaker does not care about the results","The results were good","B","HARD","SS3","FIRST","'To put it mildly' is a form of understatement, implying the reality is far worse than what is being said. The results were devastatingly bad, but the speaker is deliberately softening the expression.","Comprehension: Inference and Tone"
"A noun that refers to something you cannot touch or see physically is called a/an ___ noun.","Proper","Concrete","Abstract","Collective","C","EASY","JSS3","FIRST","An abstract noun refers to ideas, qualities, or states that cannot be physically perceived, such as 'love', 'freedom', or 'happiness'.","Nouns: Types of Nouns"
"Which of the following is an example of a PROPER noun?","table","happiness","Abuja","furniture","C","EASY","JSS3","FIRST","A proper noun is the specific name of a person, place, or thing and is always capitalised. 'Abuja' is a proper noun — it is the name of Nigeria's capital city.","Nouns: Proper Nouns"
"Identify the VERB in the sentence: 'The hungry children ate the food quickly.'","hungry","children","ate","quickly","C","EASY","JSS3","FIRST","The verb is the action word in the sentence. 'Ate' is the verb — it tells us what the children did. 'Hungry' is an adjective, 'children' is a noun, and 'quickly' is an adverb.","Verbs: Identifying Verbs"
"Which of the following sentences is an INTERROGATIVE sentence?","Sit down immediately.","The boy is reading.","Where did you put my book?","What a beautiful day!","C","EASY","JSS3","FIRST","An interrogative sentence asks a question and ends with a question mark. 'Where did you put my book?' is the interrogative sentence. The others are imperative, declarative, and exclamatory.","Basic Sentence Types"
"Choose the correct ADJECTIVE to complete the sentence: 'She wore a ___ dress to the party.'","run","quickly","beautiful","happiness","C","EASY","JSS3","SECOND","An adjective modifies a noun. 'Beautiful' correctly modifies the noun 'dress'. 'Run' is a verb, 'quickly' is an adverb, and 'happiness' is a noun.","Adjectives: Identifying Adjectives"
"The sentence 'Go away!' is an example of a/an ___ sentence.","Declarative","Interrogative","Exclamatory","Imperative","D","EASY","JSS3","SECOND","An imperative sentence gives a command or instruction. 'Go away!' is a command with an implied subject 'you'. It ends with an exclamation mark but the type is imperative.","Basic Sentence Types"
"In the sentence 'The books on the shelf are old,' what is the subject?","shelf","old","books","The books on the shelf","C","MEDIUM","JSS3","SECOND","The subject is the main noun or pronoun that the sentence is about. The core subject is 'books'. 'On the shelf' is a prepositional phrase that modifies 'books'.","Basic Sentence Types: Subject and Predicate"
"Which of the following correctly uses the comparative form of the adjective 'GOOD'?","She is gooder than her sister.","She is more good than her sister.","She is better than her sister.","She is best than her sister.","C","EASY","JSS3","SECOND","'Good' is an irregular adjective. Its comparative form is 'better' and its superlative is 'best'. 'Gooder' and 'more good' are incorrect forms.","Adjectives: Degrees of Comparison"
"Choose the word most SIMILAR in meaning to 'AFFLUENT'.","Poor","Wealthy","Ordinary","Proud","B","EASY","SS1","SECOND","'Affluent' means having a great deal of money or wealth. Its synonym is 'wealthy'.","Lexis & Structure: Synonyms"
"Which of the following sentences correctly uses the PAST PERFECT tense?","She has gone to the market.","She went to the market.","She had gone to the market before he arrived.","She was going to the market.","C","MEDIUM","SS1","THIRD","The past perfect tense is formed with 'had + past participle' and is used to show an action completed before another past action. Option C correctly shows this.","Grammar: Tenses"
"Identify the INDIRECT object in: 'The teacher gave the students new textbooks.'","teacher","gave","students","textbooks","C","HARD","SS2","FIRST","The indirect object is the person or thing that receives the direct object. 'Students' received the textbooks. 'Textbooks' is the direct object.","Grammar: Direct and Indirect Objects"
"Which word correctly fills the blank? 'The jury ___ still deliberating on the verdict.'","are","were","is","have","C","HARD","SS2","FIRST","In formal British and Nigerian English, collective nouns like 'jury' are treated as singular when acting as one unit. 'The jury is' is the correct form when the group acts together.","Grammar: Subject-Verb Agreement (Collective Nouns)"
"The sentence 'It is I who am responsible' is an example of _____.","Incorrect grammar","Correct formal grammar","Informal English","Ambiguous construction","B","HARD","SS3","THIRD","After 'It is/was', formal grammar requires the subjective case ('I', not 'me'). This is grammatically correct formal usage, though 'It is me' is acceptable in informal speech.","Sentence Construction: Formal Grammar"
"Which of the following correctly transforms 'They will announce the results tomorrow' into the passive voice?","The results will be announced tomorrow.","The results will announced tomorrow.","The results are announced tomorrow by them.","The results were announced tomorrow.","A","MEDIUM","SS3","THIRD","In future passive voice, we use 'will be + past participle'. 'The results will be announced tomorrow' is the correct passive transformation.","Sentence Transformation: Passive Voice"
"Choose the sentence with the CORRECT use of the semicolon.","She loves reading; but hates writing.","She loves reading; she hates writing.","She loves reading; because she finds it interesting.","She loves reading; and dancing.","B","HARD","SS3","THIRD","A semicolon joins two independent (complete) clauses that are closely related. 'She loves reading' and 'she hates writing' are both independent clauses and are correctly joined by a semicolon in option B.","Punctuation: Semicolons"
"The idiom 'BURN THE MIDNIGHT OIL' means to _____.","Start a fire at night","Work or study late into the night","Waste resources","Cook at midnight","B","EASY","SS3","SECOND","'Burn the midnight oil' is an idiom meaning to work or study very late at night, originally referring to working by oil lamp light.","Register, Idioms & Proverbs"
"'The early bird catches the worm' is a proverb that means _____.","Birds wake up early","Worms are food for birds","Those who start early gain an advantage","Early mornings are the best","C","EASY","SS3","SECOND","This proverb advises that people who start their work early or arrive first have the best chance of success.","Register, Idioms & Proverbs"
"Which figure of speech is used in: 'The classroom was a zoo during the teacher's absence'?","Simile","Oxymoron","Metaphor","Hyperbole","C","MEDIUM","SS3","FIRST","This is a metaphor — it directly equates the classroom to a zoo, implying the students were noisy and disorderly, without using 'like' or 'as'.","Figures of Speech: Metaphor"
"'She is as brave as a lion.' This is an example of _____.","Metaphor","Simile","Personification","Irony","B","EASY","SS3","FIRST","This is a simile because it compares the subject ('she') to a lion using the word 'as'.","Figures of Speech: Simile"
"Which of the following is an example of ONOMATOPOEIA?","The stars are diamonds in the sky.","The children played happily.","The bees buzzed around the flowers.","She is as sweet as honey.","C","MEDIUM","SS3","FIRST","Onomatopoeia refers to words that imitate the sound they describe. 'Buzzed' imitates the sound bees make.","Figures of Speech: Onomatopoeia"
"The word 'REDUNDANT' is closest in meaning to _____.","Necessary","Superfluous","Scarce","Efficient","B","MEDIUM","SS2","THIRD","'Redundant' means no longer needed or useful; superfluous. 'Superfluous' is its closest synonym.","Lexis & Structure: Synonyms"
"Which of the following words has a silent letter?","Cat","Dog","Knight","River","C","MEDIUM","SS2","SECOND","'Knight' has silent letters: the 'k' and 'gh' are not pronounced. It is pronounced /naɪt/.","Oral English: Spelling and Pronunciation"
"In which of the following words is the underlined letter pronounced differently from the others? th(e), th(ey), th(ink), th(em)","the","they","think","them","C","HARD","SS2","SECOND","In 'the', 'they', and 'them', 'th' is pronounced as the voiced dental fricative /ð/. In 'think', 'th' is pronounced as the voiceless dental fricative /θ/. 'Think' is the odd one out.","Oral English: Consonant Sounds"
"Which of the following words has the same vowel sound as the word 'BURN'?","Born","Barn","Learn","Loan","C","MEDIUM","SS2","SECOND","'Burn' has the vowel sound /ɜː/. 'Learn' also has the /ɜː/ sound. 'Born' has /ɔː/, 'barn' has /ɑː/, and 'loan' has /əʊ/.","Oral English: Vowel Sounds"
"The register appropriate for writing a condolence letter to a bereaved family is _____.","Formal and empathetic","Slang and casual","Humorous and light","Technical and precise","A","EASY","SS3","SECOND","A condolence letter requires a formal and empathetic register — respectful, warm, and sincere, as it addresses a person's grief.","Register: Language in Context"
"Which of the following contains an error in pronoun usage?","Everyone must bring their ID card.","The girls and I went to school.","Between you and I, this is wrong.","He gave the book to her.","C","HARD","SS3","THIRD","'Between' is a preposition and must be followed by object pronouns. 'Between you and me' is correct, not 'between you and I'. 'I' is a subject pronoun and should not follow a preposition.","Grammar: Pronoun Case"
"Choose the option that is OPPOSITE in meaning to 'EPHEMERAL'.","Brief","Temporary","Lasting","Fragile","C","HARD","SS3","SECOND","'Ephemeral' means lasting for a very short time. Its antonym is 'lasting' (or 'permanent'). 'Brief' and 'temporary' are synonyms of ephemeral.","Lexis & Structure: Antonyms"
"Which of the following sentences correctly uses the apostrophe?","The dogs' bone was buried.","The dogs bone was buried.","The dog's' bone was buried.","The dogs's bone was buried.","A","MEDIUM","SS3","THIRD","'Dogs'' with the apostrophe after the 's' indicates plural possession (more than one dog). Since the subject is plural, the apostrophe comes after the 's'.","Punctuation: Apostrophes and Possession"
"Select the correct form: 'I wish I ___ a millionaire.'","am","was","were","will be","C","HARD","SS3","THIRD","After 'I wish', the subjunctive mood is used. 'Were' is the subjunctive form used for all persons (I, he, she, it). 'I wish I were' is grammatically correct formal English.","Grammar: Subjunctive Mood"
"The phrase 'a bolt from the blue' means _____.","A lightning strike","Something sudden and unexpected","A blue object falling","A type of weather","B","MEDIUM","SS3","SECOND","'A bolt from the blue' is an idiom meaning something completely unexpected, like a bolt of lightning from a clear blue sky — surprising and shocking.","Register, Idioms & Proverbs"
"Which of the following words is a CONJUNCTION?","Quickly","Beautiful","Although","Happiness","C","EASY","JSS3","SECOND","A conjunction joins words, phrases, or clauses. 'Although' is a subordinating conjunction. 'Quickly' is an adverb, 'beautiful' is an adjective, and 'happiness' is a noun.","Word Classes: Conjunctions"
"Identify the type of the following sentence: 'What a wonderful performance!'","Declarative","Interrogative","Imperative","Exclamatory","D","EASY","JSS3","SECOND","An exclamatory sentence expresses strong emotion and ends with an exclamation mark. 'What a wonderful performance!' conveys admiration or surprise.","Basic Sentence Types"
"Choose the correct form of the verb: 'Mathematics ___ my favourite subject.'","are","were","is","have been","C","MEDIUM","SS1","THIRD","Subjects ending in '-ics' (mathematics, physics, economics) are treated as singular when referring to a subject of study. Therefore, 'Mathematics is' is correct.","Grammar: Subject-Verb Agreement"
"Which of the following is NOT a feature of an expository essay?","Clear and objective language","Factual information","Personal narrative and emotions","Logical organisation","C","MEDIUM","SS2","THIRD","An expository essay aims to explain or inform objectively. Personal narrative and emotions belong to narrative or descriptive essays, not expository writing.","Essay Types: Expository Writing"
"The word 'CACOPHONY' refers to _____.","A pleasant sound","A harsh, discordant mixture of sounds","A type of musical instrument","A figure of speech","B","HARD","SS3","SECOND","'Cacophony' (from Greek) means a harsh, jarring mixture of sounds. Its opposite is 'euphony' — a pleasing combination of sounds.","Lexis & Structure: Vocabulary"
"In the sentence 'Having finished her homework, Amaka watched television,' the phrase 'Having finished her homework' is a/an _____.","Relative clause","Participial phrase","Noun phrase","Adverbial clause","B","HARD","SS3","THIRD","'Having finished her homework' is a participial phrase (using the perfect participle 'having finished'). It functions as an adverbial modifier, telling us what happened before she watched television.","Sentence Construction: Phrases and Clauses"
"Which of the following sentences contains a MALAPROPISM?","She danced gracefully at the party.","He is an escape goat in this matter.","The teacher marked the exam papers.","Nigeria is a populous nation.","B","HARD","SS3","SECOND","A malapropism is the mistaken use of a word in place of a similar-sounding word. 'Escape goat' is a malapropism; the correct expression is 'scapegoat'.","Register, Idioms & Proverbs: Word Usage"
"Choose the CORRECT sentence.","He don't know the answer.","She doesn't knows the answer.","They doesn't care about it.","He doesn't know the answer.","D","EASY","SS1","THIRD","'Doesn't' is the correct third-person singular negative auxiliary. It must be followed by the base form of the verb: 'He doesn't know'. 'Don't' and 'doesn't knows' are both incorrect.","Grammar: Auxiliary Verbs and Negation"
